ASN,Operator,Tested Prefixes,Spoofing Prefixes
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=3320"" target=""_blank"" style=""color: f7602a;"">3320 (DTAG)</a>",Deutsche Telekom AG,382,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=553"" target=""_blank"" style=""color: 159124;"">553 (BELWUE)</a>",BELWUE,15,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6805"" target=""_blank"" style=""color: 159124;"">6805 (TDDE-ASN1)</a>",Telefonica Germany GmbH & Co.OHG,223,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=3209"" target=""_blank"" style=""color: 159124;"">3209 (VODANET)</a>",Vodafone GmbH,153,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=31334"" target=""_blank"" style=""color: 159124;"">31334 (KABELDEUTSCHLAND-AS)</a>",Vodafone Kabel Deutschland GmbH,36,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=24940"" target=""_blank"" style=""color: 159124;"">24940 (HETZNER-AS)</a>",Hetzner Online GmbH,6,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8881"" target=""_blank"" style=""color: 159124;"">8881 (VERSATEL)</a>",1&1 Versatel Deutschland GmbH,108,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=202018"" target=""_blank"" style=""color: 159124;"">202018 (DIGITALOCEAN-ASN-3)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16202"" target=""_blank"" style=""color: 159124;"">16202 (PRIMACOM-AS)</a>",PrimaCom Berlin GmbH,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=36351"" target=""_blank"" style=""color: 159124;"">36351 (SOFTLAYER)</a>",n.a.,4,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=29562"" target=""_blank"" style=""color: 159124;"">29562 (KabelBW-ASN)</a>",Kabel BW GmbH,8,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6663"" target=""_blank"" style=""color: 159124;"">6663 (TTI-NET)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13101"" target=""_blank"" style=""color: 159124;"">13101 (TNG-AS)</a>",ennit server GmbH,5,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=5605"" target=""_blank"" style=""color: 159124;"">5605 (NETUSE)</a>",NetUSE AG,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=49009"" target=""_blank"" style=""color: f7602a;"">49009 (FFHH)</a>",Freifunk Rheinland e.V.,2,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=680"" target=""_blank"" style=""color: 159124;"">680 (DFN)</a>",Verein zur Foerderung eines Deutschen Forschungsne,230,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8365"" target=""_blank"" style=""color: 159124;"">8365 (MANDA)</a>",Man-da.de GmbH,13,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=50629"" target=""_blank"" style=""color: 159124;"">50629 (LWLCOM)</a>",LWLcom GmbH,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=24961"" target=""_blank"" style=""color: f7602a;"">24961 (MYLOC-AS)</a>",myLoc managed IT AG,7,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=34549"" target=""_blank"" style=""color: f7602a;"">34549 (MEER-AS)</a>",meerfarbig GmbH & Co. KG,7,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=34953"" target=""_blank"" style=""color: 159124;"">34953 (RELAIX)</a>",RelAix Networks GmbH,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=60294"" target=""_blank"" style=""color: 159124;"">60294 (DE-DGW)</a>",Deutsche Glasfaser Wholesale GmbH,5,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6830"" target=""_blank"" style=""color: 159124;"">6830 (LGI-UPC)</a>",n.a.,22,0
