ASN,Client Prefix,NAT,Spoof Private,Spoof Routable,Adjacency Spoofing,Date
202018 (DIGITALOCEAN-ASN-3),46.101.240.x/24,no,blocked,blocked,none,2017-11-05
24940 (HETZNER-AS),46.4.103.x/24,no,blocked,blocked,/25,2017-11-05
24940 (HETZNER-AS),2a01:4f8:1xx::/40,no,blocked,blocked,/64,2017-11-05
3320 (DTAG),79.223.59.x/24,yes,blocked,blocked,none,2017-11-05
3320 (DTAG),2003:73:afxx::/40,no,blocked,blocked,/64,2017-11-05
3320 (DTAG),79.223.36.x/24,yes,,,,2017-11-05
3320 (DTAG),2003:73:afxx::/40,no,unknown,unknown,none,2017-11-05
3320 (DTAG),217.244.139.x/24,yes,rewritten,rewritten,none,2017-11-05
3320 (DTAG),2003:ed:f3xx::/40,no,blocked,blocked,/56,2017-11-05
3320 (DTAG),79.223.44.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),2003:73:afxx::/40,no,blocked,blocked,/104,2017-11-04
3320 (DTAG),93.252.33.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),2003:6:41xx::/40,yes,blocked,blocked,none,2017-11-04
3209 (VODANET),84.63.205.x/24,yes,blocked,blocked,none,2017-11-04
3209 (VODANET),84.63.205.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),93.253.159.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),79.223.53.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),2003:73:afxx::/40,no,blocked,blocked,/88,2017-11-04
31334 (KABELDEUTSCHLAND-AS),31.18.22.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),87.135.25.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),2003:6:13xx::/40,yes,blocked,blocked,none,2017-11-04
6805 (TDDE-ASN1),85.179.203.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),93.252.33.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),2003:6:41xx::/40,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),91.63.23.x/24,yes,blocked,blocked,none,2017-11-04
31334 (KABELDEUTSCHLAND-AS),146.52.113.x/24,yes,blocked,blocked,none,2017-11-04
31334 (KABELDEUTSCHLAND-AS),2a02:810c:c6xx::/40,no,blocked,blocked,/64,2017-11-04
553 (BELWUE),141.10.85.x/24,no,blocked,blocked,none,2017-11-04
3320 (DTAG),91.14.158.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),80.136.165.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),79.208.161.x/24,yes,rewritten,rewritten,none,2017-11-04
3320 (DTAG),2003:c1:7fxx::/40,no,blocked,blocked,/64,2017-11-04
16202 (PRIMACOM-AS),92.206.202.x/24,yes,blocked,blocked,none,2017-11-04
16202 (PRIMACOM-AS),92.206.202.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),79.223.57.x/24,yes,blocked,blocked,none,2017-11-04
3320 (DTAG),2003:73:afxx::/40,no,blocked,blocked,/88,2017-11-04
3320 (DTAG),46.83.42.x/24,yes,rewritten,rewritten,none,2017-11-04
