ASN,spoofable,IP
13285 (OPALTELECOM-AS),3,89.240.162.x/24<br>89.240.164.x/24<br>89.240.168.x/24
16082 (SPITFIRE),1,31.24.4.x/24
25178 (KEYCOM-AS),1,109.246.12.x/24
2856 (BT-UK-AS),1,217.33.100.x/24
31742 (SOTACONNECT),1,83.137.226.x/24
35028 (MULTIPLAY),1,2001:4db0:1xx::/40
41495 (FAELIX-AS),2,2a01:9e00:a2xx::/40<br>46.227.203.x/24
42004 (ULGRP-AS),3,195.8.192.x/24<br>2a00:19d8:xx::/40<br>31.10.42.x/24
43754 (ASIATECH),1,79.143.85.x/24
50023 (Vodat),1,109.68.14.x/24
60339 (H3GUK),5,188.29.164.x/24<br>188.29.165.x/24<br>92.40.249.x/24<br>94.197.120.x/24<br>94.197.121.x/24
62240 (Clouvider),2,185.164.137.x/24<br>2a04:92c7:xx::/40
786 (JANET),1,2001:630:2xx::/40
9105 (TISCALI-UK),14,79.75.1.x/24<br>79.75.10.x/24<br>79.75.13.x/24<br>79.75.15.x/24<br>79.75.16.x/24<br>79.75.17.x/24<br>79.75.19.x/24<br>79.75.21.x/24<br>79.75.22.x/24<br>79.75.24.x/24<br>79.75.29.x/24<br>79.75.3.x/24<br>79.75.30.x/24<br>79.75.9.x/24<br>
