ASN,Client Prefix,NAT,Spoof Private,Spoof Routable,Adjacency Spoofing,Date
31655 (ASN-GammaTelecom),92.207.161.x/24,yes,blocked,blocked,none,2017-11-06
13285 (OPALTELECOM-AS),89.240.230.x/24,yes,rewritten,rewritten,none,2017-11-06
25180 (EXPONENTIAL-E-AS),5.148.8.x/24,yes,rewritten,rewritten,none,2017-11-06
5413 (AS5413),195.147.143.x/24,yes,rewritten,rewritten,none,2017-11-06
13213 (UK2NET-AS),196.52.84.x/24,yes,blocked,blocked,none,2017-11-06
9009 (M247),84.39.117.x/24,yes,blocked,blocked,none,2017-11-06
13213 (UK2NET-AS),196.52.84.x/24,yes,blocked,blocked,none,2017-11-06
5607 (BSKYB-BROADBAND-AS),94.193.232.x/24,yes,blocked,blocked,none,2017-11-06
5607 (BSKYB-BROADBAND-AS),2a02:c7f:2xx::/40,no,blocked,blocked,/56,2017-11-06
56329 (GIGACLEAR),46.227.149.x/24,yes,rewritten,rewritten,none,2017-11-05
12496 (IDNET),212.69.53.x/24,yes,blocked,blocked,none,2017-11-05
6871 (Plusnet),46.208.160.x/24,yes,unknown,unknown,none,2017-11-05
5607 (BSKYB-BROADBAND-AS),94.4.58.x/24,yes,blocked,blocked,none,2017-11-05
13213 (UK2NET-AS),196.52.84.x/24,yes,blocked,blocked,none,2017-11-05
56478 (BCUBE-AS),88.98.241.x/24,yes,unknown,rewritten,none,2017-11-05
5607 (BSKYB-BROADBAND-AS),2.127.230.x/24,yes,blocked,blocked,none,2017-11-05
5607 (BSKYB-BROADBAND-AS),2a02:c7d:8cxx::/40,no,blocked,blocked,/64,2017-11-05
20860 (IOMART-AS),78.129.251.x/24,yes,blocked,blocked,none,2017-11-05
13213 (UK2NET-AS),88.202.183.x/24,yes,blocked,blocked,none,2017-11-05
12576 (ORANGE-PCS),95.147.38.x/24,yes,rewritten,rewritten,none,2017-11-05
5089 (NTL),86.25.184.x/24,yes,blocked,blocked,none,2017-11-05
5089 (NTL),82.33.81.x/24,yes,blocked,blocked,none,2017-11-05
6871 (Plusnet),46.208.160.x/24,yes,unknown,unknown,none,2017-11-05
13285 (OPALTELECOM-AS),78.148.65.x/24,yes,rewritten,rewritten,none,2017-11-05
50056 (AI-NET),178.18.118.x/24,no,blocked,blocked,/26,2017-11-05
50056 (AI-NET),2a01:8000:1fxx::/40,no,blocked,blocked,/64,2017-11-05
14061 (DIGITALOCEAN-ASN),188.166.144.x/24,no,blocked,blocked,none,2017-11-05
2856 (BT-UK-AS),217.42.160.x/24,yes,rewritten,rewritten,none,2017-11-05
41230 (ASK4),31.205.36.x/24,yes,blocked,blocked,none,2017-11-05
6871 (Plusnet),143.159.250.x/24,yes,rewritten,rewritten,none,2017-11-05
13213 (UK2NET-AS),196.52.84.x/24,yes,blocked,blocked,none,2017-11-05
786 (JANET),193.60.182.x/24,yes,unknown,unknown,none,2017-11-04
12576 (ORANGE-PCS),95.147.38.x/24,yes,rewritten,rewritten,none,2017-11-04
2856 (BT-UK-AS),86.187.173.x/24,yes,unknown,unknown,none,2017-11-04
9105 (TISCALI-UK),88.111.148.x/24,yes,rewritten,rewritten,none,2017-11-04
42004 (ULGRP-AS),194.105.155.x/24,yes,blocked,blocked,none,2017-11-04
42004 (ULGRP-AS),2a00:19d8:xx::/40,no,blocked,blocked,/64,2017-11-04
2856 (BT-UK-AS),86.187.161.x/24,yes,unknown,unknown,none,2017-11-04
9105 (TISCALI-UK),79.75.3.x/24,yes,received,received,/8,2017-11-04
13213 (UK2NET-AS),196.52.84.x/24,yes,blocked,blocked,none,2017-11-04
2856 (BT-UK-AS),5.80.26.x/24,yes,blocked,blocked,none,2017-11-04
20860 (IOMART-AS),185.186.77.x/24,yes,unknown,unknown,none,2017-11-04
2856 (BT-UK-AS),86.166.151.x/24,yes,rewritten,rewritten,none,2017-11-04
5089 (NTL),82.15.58.x/24,yes,blocked,blocked,none,2017-11-04
3356 (LEVEL3),88.150.250.x/24,yes,blocked,blocked,none,2017-11-04
9105 (TISCALI-UK),88.110.89.x/24,yes,rewritten,rewritten,none,2017-11-04
43234 (TT-AOLUK-AS),92.1.32.x/24,yes,blocked,blocked,none,2017-11-04
20860 (IOMART-AS),88.150.137.x/24,yes,blocked,blocked,none,2017-11-04
786 (JANET),193.61.148.x/24,yes,rewritten,rewritten,none,2017-11-04
5089 (NTL),82.15.58.x/24,yes,blocked,blocked,none,2017-11-04
12390 (KINGSTON-UK-AS),83.100.143.x/24,yes,blocked,blocked,none,2017-11-04
5089 (NTL),82.15.58.x/24,yes,blocked,blocked,none,2017-11-04
2856 (BT-UK-AS),86.179.169.x/24,yes,rewritten,rewritten,none,2017-11-04
2856 (BT-UK-AS),86.159.40.x/24,yes,rewritten,rewritten,none,2017-11-04
2856 (BT-UK-AS),2a00:23c5:bdxx::/40,no,blocked,blocked,/64,2017-11-04
5089 (NTL),82.15.58.x/24,yes,blocked,blocked,none,2017-11-04
41230 (ASK4),31.205.36.x/24,yes,blocked,blocked,none,2017-11-04
6871 (Plusnet),46.208.160.x/24,yes,unknown,unknown,none,2017-11-04
13285 (OPALTELECOM-AS),78.148.65.x/24,yes,rewritten,rewritten,none,2017-11-04
2856 (BT-UK-AS),86.187.166.x/24,yes,unknown,unknown,none,2017-11-04
42004 (ULGRP-AS),194.105.155.x/24,yes,blocked,blocked,none,2017-11-04
42004 (ULGRP-AS),2a00:19d8:xx::/40,no,blocked,blocked,/64,2017-11-04
13037 (ZEN-AS),82.71.33.x/24,yes,rewritten,rewritten,none,2017-11-04
